Ranks,Nesting,Dset,Gset,OMP,PKG_LIMIT,ExecTime
32,DGZ,8,8,10,80,3.8054
32,DGZ,8,8,10,85,3.4047
32,DGZ,8,8,10,90,3.605
32,DGZ,8,8,10,95,3.4047
32,DGZ,8,8,10,100,3.4046
32,DGZ,8,16,10,50,7.4252
32,DGZ,8,16,10,55,6.6294
32,DGZ,8,16,10,60,6.0506
32,DGZ,8,16,10,65,5.8088
32,DGZ,8,16,10,70,5.2102
32,DGZ,8,16,10,75,4.6069
32,DGZ,8,16,10,80,4.2059
32,DGZ,8,16,10,85,4.0054
32,DGZ,8,16,10,90,4.0055
32,DGZ,8,16,10,95,4.0054
32,DGZ,8,16,10,100,4.0053
32,DGZ,8,32,10,50,10.2577
32,DGZ,8,32,10,55,9.0345
32,DGZ,8,32,10,60,8.2478
32,DGZ,8,32,10,65,7.8283
32,DGZ,8,32,10,70,7.2122
32,DGZ,8,32,10,75,6.2087
32,DGZ,8,32,10,80,6.008
32,DGZ,8,32,10,85,5.8075
32,DGZ,8,32,10,90,5.6074
32,DGZ,8,32,10,95,5.6075
32,DGZ,8,32,10,100,5.6074
32,DGZ,16,1,10,50,12.2881
32,DGZ,16,1,10,55,11.2494
32,DGZ,16,1,10,60,10.4303
32,DGZ,16,1,10,65,9.4417
32,DGZ,16,1,10,70,7.2146
32,DGZ,16,1,10,75,6.6124
32,DGZ,16,1,10,80,6.209
32,DGZ,16,1,10,85,6.2085
32,DGZ,16,1,10,90,6.0083
32,DGZ,16,1,10,95,6.0083
32,DGZ,16,1,10,100,6.0081
32,DGZ,16,2,10,50,10.0624
32,DGZ,16,2,10,55,8.8551
32,DGZ,16,2,10,60,8.2508
32,DGZ,16,2,10,65,7.4253
32,DGZ,16,2,10,70,6.6146
32,DGZ,16,2,10,75,5.81
32,DGZ,16,2,10,80,5.6086
32,DGZ,16,2,10,85,5.4075
32,DGZ,16,2,10,90,5.2071
32,DGZ,16,2,10,95,5.2073
32,DGZ,16,2,10,100,5.207
32,DGZ,16,4,10,50,10.0615
32,DGZ,16,4,10,55,9.0621
32,DGZ,16,4,10,60,8.226
32,DGZ,16,4,10,65,7.631
32,DGZ,16,4,10,70,6.6134
32,DGZ,16,4,10,75,6.0092
32,DGZ,16,4,10,80,5.8081
32,DGZ,16,4,10,85,5.4077
32,DGZ,16,4,10,90,5.4073
32,DGZ,16,4,10,95,5.4077
32,DGZ,16,4,10,100,5.4073
32,DGZ,16,8,10,50,10.8279
32,DGZ,16,8,10,55,9.4309
32,DGZ,16,8,10,60,8.2301
32,DGZ,16,8,10,65,8.0378
32,DGZ,16,8,10,70,7.2127
32,DGZ,16,8,10,75,6.4096
32,DGZ,16,8,10,80,6.0085
32,DGZ,16,8,10,85,5.6079
32,DGZ,16,8,10,90,5.6074
32,DGZ,16,8,10,95,5.6075
32,DGZ,16,8,10,100,5.6074
32,DGZ,16,16,10,50,13.0442
32,DGZ,16,16,10,55,11.8326
32,DGZ,16,16,10,60,11.0557
32,DGZ,16,16,10,65,10.0347
32,DGZ,16,16,10,70,9.0149
32,DGZ,16,16,10,75,8.2121
32,DGZ,16,16,10,80,7.8108
32,DGZ,16,16,10,85,7.4099
32,DGZ,16,16,10,90,7.4098
32,DGZ,16,16,10,95,7.2096
32,DGZ,16,16,10,100,7.2098
32,DGZ,16,32,10,50,18.2392
32,DGZ,16,32,10,55,15.8531
32,DGZ,16,32,10,60,14.8301
32,DGZ,16,32,10,65,13.2247
32,DGZ,16,32,10,70,12.2193
32,DGZ,16,32,10,75,11.215
32,DGZ,16,32,10,80,10.6136
32,DGZ,16,32,10,85,10.2129
32,DGZ,16,32,10,90,10.213
32,DGZ,16,32,10,95,10.0128
32,DGZ,16,32,10,100,10.2128
32,DGZ,32,1,10,50,17.8986
32,DGZ,32,1,10,55,16.0959
32,DGZ,32,1,10,60,14.6547
32,DGZ,32,1,10,65,13.4479
32,DGZ,32,1,10,70,11.2223
32,DGZ,32,1,10,75,10.4157
32,DGZ,32,1,10,80,9.814
32,DGZ,32,1,10,85,9.4135
32,DGZ,32,1,10,90,9.4128
32,DGZ,32,1,10,95,9.6131
32,DGZ,32,1,10,100,9.4126
32,DGZ,32,2,10,50,16.8702
32,DGZ,32,2,10,55,15.2794
32,DGZ,32,2,10,60,13.4413
32,DGZ,32,2,10,65,12.8634
32,DGZ,32,2,10,70,11.2188
32,DGZ,32,2,10,75,10.4155
32,DGZ,32,2,10,80,10.0147
32,DGZ,32,2,10,85,9.4131
32,DGZ,32,2,10,90,9.4127
32,DGZ,32,2,10,95,9.4131
32,DGZ,32,2,10,100,9.6129
32,DGZ,32,4,10,50,15.66
32,DGZ,32,4,10,55,14.0509
32,DGZ,32,4,10,60,12.8428
32,DGZ,32,4,10,65,12.0439
32,DGZ,32,4,10,70,11.0206
32,DGZ,32,4,10,75,10.0148
32,DGZ,32,4,10,80,9.413
32,DGZ,32,4,10,85,9.2126
32,DGZ,32,4,10,90,9.2124
32,DGZ,32,4,10,95,9.4129
32,DGZ,32,4,10,100,9.0119
32,DGZ,32,8,10,50,18.6674
32,DGZ,32,8,10,60,15.65
32,DGZ,32,8,10,65,14.4492
32,DGZ,32,8,10,70,13.2239
32,DGZ,32,8,10,75,12.0176
32,DGZ,32,8,10,80,11.6162
32,DGZ,32,8,10,85,11.2151
32,DGZ,32,8,10,90,11.0145
32,DGZ,32,8,10,95,11.2153
32,DGZ,32,8,10,100,11.0145
32,DGZ,32,16,10,50,24.4633
32,DGZ,32,16,10,55,21.2601
32,DGZ,32,16,10,60,19.8392
32,DGZ,32,16,10,65,17.2582
32,DGZ,32,16,10,70,15.8278
32,DGZ,32,16,10,75,15.0206
32,DGZ,32,16,10,80,14.0186
32,DGZ,32,16,10,85,13.4177
32,DGZ,32,16,10,90,13.2168
32,DGZ,32,16,10,95,13.2169
32,DGZ,32,16,10,100,13.2171
32,DGZ,32,32,10,50,32.5031
32,DGZ,32,32,10,55,28.8612
32,DGZ,32,32,10,60,25.458
32,DGZ,32,32,10,65,23.6343
32,DGZ,32,32,10,70,21.8301
32,DGZ,32,32,10,75,20.026
32,DGZ,32,32,10,80,19.6245
32,DGZ,32,32,10,85,18.4227
32,DGZ,32,32,10,90,18.2223
32,DGZ,32,32,10,95,18.2227
32,DGZ,32,32,10,100,18.0223
32,DGZ,8,1,12,50,10.0763
32,DGZ,8,1,12,55,9.4622
32,DGZ,8,1,12,60,8.8412
32,DGZ,8,1,12,65,8.2304
32,DGZ,8,1,12,70,6.2122
32,DGZ,8,1,12,75,5.009
32,DGZ,8,1,12,80,4.6074
32,DGZ,8,1,12,85,4.4061
32,DGZ,8,1,12,90,4.406
32,DGZ,8,1,12,95,4.2061
32,DGZ,8,1,12,100,4.2058
32,DGZ,8,2,12,50,8.0467
32,DGZ,8,2,12,55,7.2546
32,DGZ,8,2,12,60,6.4328
32,DGZ,8,2,12,65,6.0309
32,DGZ,8,2,12,70,5.012
32,DGZ,8,2,12,75,4.2075
32,DGZ,8,2,12,80,4.0068
32,DGZ,8,2,12,85,4.0061
32,DGZ,8,2,12,90,3.8054
32,DGZ,8,2,12,95,3.6051
32,DGZ,8,2,12,100,3.605
32,DGZ,8,4,12,50,6.6339
32,DGZ,8,4,12,55,6.2431
32,DGZ,8,4,12,60,5.4159
32,DGZ,8,4,12,65,5.2217
32,DGZ,8,4,12,70,4.6133
32,DGZ,8,4,12,75,3.8075
32,DGZ,8,4,12,80,3.6063
32,DGZ,8,4,12,85,4.0061
32,DGZ,8,4,12,90,3.4049
32,DGZ,8,4,12,95,3.2045
32,DGZ,8,4,12,100,3.2045
32,DGZ,8,8,12,50,7.2488
32,DGZ,8,8,12,55,6.4505
32,DGZ,8,8,12,60,6.0393
32,DGZ,8,8,12,65,5.6302
32,DGZ,8,8,12,70,4.611
32,DGZ,8,8,12,75,4.2072
32,DGZ,8,8,12,80,4.0063
32,DGZ,8,8,12,85,3.8055
32,DGZ,8,8,12,90,3.6049
32,DGZ,8,8,12,95,3.4049
32,DGZ,8,8,12,100,3.4045
32,DGZ,8,16,12,50,7.8231
32,DGZ,8,16,12,55,7.0215
32,DGZ,8,16,12,60,6.6607
32,DGZ,8,16,12,65,6.066
32,DGZ,8,16,12,70,5.4092
32,DGZ,8,16,12,75,4.8084
32,DGZ,8,16,12,80,4.6075
32,DGZ,8,16,12,85,4.4061
32,DGZ,8,16,12,90,4.0053
32,DGZ,8,16,12,95,3.8052
32,DGZ,8,16,12,100,3.8052
32,DGZ,8,32,12,50,11.0507
32,DGZ,8,32,12,55,9.6427
32,DGZ,8,32,12,60,8.8217
32,DGZ,8,32,12,65,8.8211
32,DGZ,8,32,12,70,7.6146
32,DGZ,8,32,12,75,6.8106
32,DGZ,8,32,12,80,6.4095
32,DGZ,8,32,12,85,6.0082
32,DGZ,8,32,12,90,5.8076
32,DGZ,8,32,12,95,5.6073
32,DGZ,8,32,12,100,5.6073
32,DGZ,16,1,12,50,13.4794
32,DGZ,16,1,12,55,12.2589
32,DGZ,16,1,12,60,11.0691
32,DGZ,16,1,12,65,10.2509
32,DGZ,16,1,12,70,8.8155
32,DGZ,16,1,12,75,7.2132
32,DGZ,16,1,12,80,6.6131
32,DGZ,16,1,12,85,6.4102
32,DGZ,16,1,12,90,6.2104
32,DGZ,16,1,12,95,6.0082
32,DGZ,16,1,12,100,6.0082
32,DGZ,16,2,12,50,11.0614
32,DGZ,16,2,12,55,9.6588
32,DGZ,16,2,12,60,8.891
32,DGZ,16,2,12,65,8.0351
32,DGZ,16,2,12,70,7.2156
32,DGZ,16,2,12,75,6.2114
32,DGZ,16,2,12,80,5.8104
32,DGZ,16,2,12,85,5.6095
32,DGZ,16,2,12,90,5.6077
32,DGZ,16,2,12,95,5.2071
32,DGZ,16,2,12,100,5.2071
32,DGZ,16,4,12,50,11.046
32,DGZ,16,4,12,55,9.4549
32,DGZ,16,4,12,60,8.8604
